time_s,angle_deg,angular_vel_dps,pid_output,setpoint
4.9500,0.0000,-0.0000,-0.0000,0.0000
4.9600,0.0000,-0.0000,-0.0000,0.0000
4.9700,0.0000,-0.0000,-0.0000,0.0000
4.9800,0.0000,-0.0000,-0.0000,0.0000
4.9900,0.0000,-0.0000,-0.0000,0.0000
5.0000,0.0955,9.5493,-0.0000,0.0000
5.0100,0.1419,4.6360,-3.0080,0.0000
5.0200,0.2075,6.5621,-1.6036,0.0000
5.0300,0.2603,5.2789,-2.2799,0.0000
5.0400,0.3155,5.5256,-1.9741,0.0000
5.0500,0.2707,-4.4833,-2.1310,0.0000
5.0600,0.2739,0.3182,0.9390,0.0000
5.0700,0.2552,-1.8697,-0.5063,0.0000
5.0800,0.2475,-0.7641,0.1782,0.0000
5.0900,0.2354,-1.2151,-0.1421,0.0000
5.1000,0.2260,-0.9349,0.0115,0.0000
5.1100,0.2160,-1.0025,-0.0586,0.0000
